run,event,trigger,timestamp_low,timestamp_high,ni_trigger_number,ni_pivot_pixel
315,0,1,2873073325,2873073350,1,254
315,1,2,2874693575,2874693600,2,3886
315,2,3,2876006200,2876006225,3,6550
315,3,4,2876269900,2876269925,4,8993
315,4,5,2876991650,2876991675,5,5182
315,5,6,2877520000,2877520025,5,5182
315,6,7,2877555175,2877555200,7,2376
315,7,8,2877715350,2877715375,7,2376
315,8,9,2877747575,2877747600,9,1137
315,9,10,2878045450,2878045475,9,1137
315,10,11,2878229050,2878229075,11,3185
315,11,12,2878647050,2878647075,11,3185
315,12,13,2878745700,2878745725,13,6162
315,13,14,2878914675,2878914700,14,7902
315,14,15,2879627625,2879627650,14,7902
315,15,16,2879737975,2879738000,14,7902
315,16,17,2879753600,2879753625,17,1501
315,17,18,2879778025,2879778050,18,5259
315,18,19,2880055400,2880055425,18,5259
315,19,20,2880086650,2880086675,18,5259
315,20,21,2880218500,2880218525,21,6204
315,21,22,2880297600,2880297625,21,6204
315,22,23,2880388425,2880388450,23,4023
315,23,24,2880500750,2880500775,23,4023
315,24,25,2880581800,2880581825,23,4023
315,25,26,2880628675,2880628700,23,4023
315,26,27,2880679475,2880679500,27,1451
315,27,28,2880699000,2880699025,27,1451
315,28,29,2880775175,2880775200,27,1451
315,29,30,2880866000,2880866025,30,8185
315,30,31,2881243975,2881244000,30,8185
315,31,32,2881291825,2881291850,30,8185
315,32,33,2881323075,2881323100,30,8185
315,33,34,2881369950,2881369975,34,3347
315,34,35,2881413900,2881413925,34,3347
315,35,36,2881434425,2881434450,36,7964
315,36,37,2881702025,2881702050,36,7964
315,37,38,2881715700,2881715725,36,7964
315,38,39,2881774300,2881774325,39,939
315,39,40,2881844625,2881844650,39,939
315,40,41,2881895400,2881895425,39,939
315,41,42,2881932525,2881932550,42,87
315,42,43,2882064350,2882064375,42,87
315,43,44,2882124925,2882124950,42,87
315,44,45,2882220625,2882220650,42,87
315,45,46,2882263600,2882263625,42,87
315,46,47,2882282150,2882282175,47,9079
315,47,48,2882407175,2882407200,47,9079
315,48,49,2882484325,2882484350,47,9079
315,49,50,2882523375,2882523400,50,4398
315,50,51,2882579050,2882579075,51,2843
315,51,52,2882790025,2882790050,51,2843
315,52,53,2882812475,2882812500,51,2843
315,53,54,2882890600,2882890625,51,2843
315,54,55,2882910150,2882910175,55,5900
315,55,56,2883173825,2883173850,55,5900
315,56,57,2883203125,2883203150,55,5900
315,57,58,2883286150,2883286175,58,2469
315,58,59,2883361350,2883361375,58,2469
315,59,60,2883407250,2883407275,58,2469
315,60,61,2883497100,2883497125,61,2555
315,61,62,2883592825,2883592850,61,2555
315,62,63,2883677800,2883677825,61,2555
315,63,64,2883771550,2883771575,61,2555
315,64,65,2883786200,2883786225,65,8116
315,65,66,2884123150,2884123175,65,8116
315,66,67,2884165125,2884165150,65,8116
315,67,68,2884209075,2884209100,68,2654
315,68,69,2884285275,2884285300,68,2654
315,69,70,2884340925,2884340950,68,2654
315,70,71,2884362425,2884362450,68,2654
315,71,72,2884384875,2884384900,68,2654
315,72,73,2884449350,2884449375,73,6020
315,73,74,2884557750,2884557775,73,6020
315,74,75,2884569475,2884569500,73,6020
315,75,76,2884608525,2884608550,73,6020
315,76,77,2884657375,2884657400,73,6020
315,77,78,2884708150,2884708175,78,7121
315,78,79,2884801925,2884801950,78,7121
315,79,80,2884891775,2884891800,78,7121
315,80,81,2884906425,2884906450,81,8225
315,81,82,2885161325,2885161350,82,1985
315,82,83,2885428925,2885428950,82,1985
315,83,84,2885459200,2885459225,82,1985
315,84,85,2885484600,2885484625,82,1985
315,85,86,2885576400,2885576425,86,1836
315,86,87,2885657450,2885657475,87,5828
315,87,88,2885937750,2885937775,87,5828
315,88,89,2886066675,2886066700,89,1616
315,89,90,2886115500,2886115525,89,1616
315,90,91,2886162375,2886162400,89,1616
315,91,92,2886178025,2886178050,89,1616
315,92,93,2886256150,2886256175,89,1616
315,93,94,2886268850,2886268875,89,1616
315,94,95,2886300100,2886300125,89,1616
315,95,96,2886313775,2886313800,96,3185
315,96,97,2886365525,2886365550,96,3185
315,97,98,2886383100,2886383125,96,3185
315,98,99,2886431950,2886431975,96,3185
315,99,100,2886521800,2886521825,100,1789
315,100,101,2886693675,2886693700,100,1789
315,101,102,2886740575,2886740600,100,1789
315,102,103,2886861675,2886861700,103,3828
315,103,104,2886949575,2886949600,103,3828
315,104,105,2887035500,2887035525,103,3828
315,105,106,2887072625,2887072650,106,2428
315,106,107,2887162475,2887162500,106,2428
315,107,108,2887184950,2887184975,106,2428
315,108,109,2887297250,2887297275,109,4076
315,109,110,2887413475,2887413500,109,4076
315,110,111,2887482825,2887482850,109,4076
315,111,112,2887500400,2887500425,109,4076
315,112,113,2887512125,2887512150,109,4076
315,113,114,2887522850,2887522875,114,2677
315,114,115,2887626375,2887626400,114,2677
315,115,116,2887667400,2887667425,114,2677
315,116,117,2887711350,2887711375,117,2215
315,117,118,2887851025,2887851050,117,2215
315,118,119,2887894975,2887895000,119,6207
315,119,120,2888131325,2888131350,119,6207
315,120,121,2888147925,2888147950,121,2854
315,121,122,2888319800,2888319825,121,2854
315,122,123,2888373525,2888373550,121,2854
315,123,124,2888462400,2888462425,124,4658
315,124,125,2888572750,2888572775,124,4658
315,125,126,2888630375,2888630400,124,4658
315,126,127,2888647950,2888647975,127,758
315,127,128,2888754425,2888754450,127,758
315,128,129,2888771025,2888771050,127,758
315,129,130,2888851100,2888851125,130,2406
315,130,131,2889005425,2889005450,130,2406
315,131,132,2889126525,2889126550,130,2406
315,132,133,2889164600,2889164625,133,1791
315,133,134,2889343325,2889343350,133,1791
315,134,135,2889401925,2889401950,133,1791
315,135,136,2889422450,2889422475,133,1791
315,136,137,2889477150,2889477175,133,1791
315,137,138,2889504475,2889504500,138,3205
315,138,139,2889591400,2889591425,138,3205
315,139,140,2889647075,2889647100,138,3205
315,140,141,2889767200,2889767225,141,4852
315,141,142,2889842400,2889842425,141,4852
315,142,143,2889921525,2889921550,143,328
315,143,144,2890016250,2890016275,143,328
315,144,145,2890110975,2890111000,143,328
315,145,146,2890192050,2890192075,143,328
315,146,147,2890205725,2890205750,143,328
315,147,148,2890240875,2890240900,148,1429
315,148,149,2890260425,2890260450,148,1429
315,149,150,2890288725,2890288750,148,1429
315,150,151,2890307300,2890307325,151,1436
315,151,152,2890490900,2890490925,151,1436
315,152,153,2890685250,2890685275,153,899
315,153,154,2890829800,2890829825,153,899
315,154,155,2890857150,2890857175,155,3406
315,155,156,2891091550,2891091575,156,3960
315,156,157,2891328875,2891328900,156,3960
315,157,158,2891408950,2891408975,158,7483
315,158,159,2891603300,2891603325,158,7483
315,159,160,2891712700,2891712725,160,4990
315,160,161,2891802550,2891802575,160,4990
315,161,162,2891867975,2891868000,160,4990
315,162,163,2891952950,2891952975,160,4990
315,163,164,2891961725,2891961750,164,6013
315,164,165,2892045725,2892045750,164,6013
315,165,166,2892187350,2892187375,166,405
315,166,167,2892551625,2892551650,166,405
315,167,168,2892665900,2892665925,166,405
315,168,169,2892743050,2892743075,169,973
315,169,170,2893249950,2893249975,170,6371
315,170,171,2893547825,2893547850,171,8565
315,171,172,2893805650,2893805675,172,4982
315,172,173,2894106450,2894106475,173,6164
315,173,174,2894466850,2894466875,174,2143
315,174,175,2895799000,2895799025,175,3821
315,175,176,2956300525,2956300550,176,2816
315,176,177,2956633575,2956633600,177,3309
315,177,178,2957446150,2957446175,178,2147
315,178,179,2957777225,2957777250,178,2147
315,179,180,2957943250,2957943275,180,4189
315,180,181,2958148350,2958148375,180,4189
315,181,182,2958303650,2958303675,182,3674
315,182,183,2959178725,2959178750,182,3674
315,183,184,2959313500,2959313525,184,3759
315,184,185,2959410175,2959410200,184,3759
315,185,186,2959482450,2959482475,186,8305
315,186,187,2959927825,2959927850,186,8305
315,187,188,2960041100,2960041125,188,5427
315,188,189,2960352650,2960352675,188,5427
315,189,190,2960424925,2960424950,190,8179
315,190,191,2960963050,2960963075,190,8179
315,191,192,2961004075,2961004100,190,8179
315,192,193,2961021650,2961021675,190,8179
315,193,194,2961065600,2961065625,194,64
315,194,195,2961207225,2961207250,194,64
315,195,196,2961221875,2961221900,194,64
315,196,197,2961232625,2961232650,194,64
315,197,198,2961366425,2961366450,194,64
315,198,199,2961430875,2961430900,199,6166
315,199,200,2961513900,2961513925,199,6166
315,200,201,2961537325,2961537350,199,6166
315,201,202,2961582250,2961582275,199,6166
315,202,203,2961640850,2961640875,203,238
315,203,204,2961785400,2961785425,204,5168
315,204,205,2962077425,2962077450,205,6737
315,205,206,2962327450,2962327475,205,6737
315,206,207,2962378225,2962378250,205,6737
315,207,208,2962442700,2962442725,208,6826
315,208,209,2962674150,2962674175,208,6826
315,209,210,2962761075,2962761100,210,1363
315,210,211,2962836275,2962836300,211,1377
315,211,212,2963297250,2963297275,211,1377
315,212,213,2963419350,2963419375,211,1377
315,213,214,2963472075,2963472100,214,5838
315,214,215,2963583425,2963583450,214,5838
315,215,216,2963645925,2963645950,216,8902
315,216,217,2964197725,2964197750,216,8902
315,217,218,2964286600,2964286625,218,158
315,218,219,2964318825,2964318850,218,158
315,219,220,2964513175,2964513200,220,2510
315,220,221,2964578625,2964578650,220,2510
315,221,222,2964689950,2964689975,220,2510
315,222,223,2964756375,2964756400,223,4001
315,223,224,2964827675,2964827700,223,4001
315,224,225,2964841350,2964841375,225,4871
315,225,226,2965184150,2965184175,225,4871
315,226,227,2965245675,2965245700,227,119
315,227,228,2965585550,2965585575,227,119
315,228,229,2965739850,2965739875,229,751
315,229,230,2965823850,2965823875,229,751
315,230,231,2965887325,2965887350,229,751
315,231,232,2965939100,2965939125,229,751
315,232,233,2965968400,2965968425,233,3180
315,233,234,2966084625,2966084650,233,3180
315,234,235,2966133450,2966133475,233,3180
315,235,236,2966201825,2966201850,236,3812
315,236,237,2966322925,2966322950,236,3812
315,237,238,2966360025,2966360050,236,3812
315,238,239,2966409850,2966409875,236,3812
315,239,240,2966453800,2966453825,240,4842
315,240,241,2966796600,2966796625,240,4842
315,241,242,2966939175,2966939200,242,2349
315,242,243,2966995825,2966995850,243,6497
315,243,244,2967278075,2967278100,243,6497
315,244,245,2967349375,2967349400,243,6497
315,245,246,2967407000,2967407025,246,6269
315,246,247,2967505650,2967505675,246,6269
315,247,248,2967516375,2967516400,246,6269
315,248,249,2967624800,2967624825,249,3932
315,249,250,2967706825,2967706850,249,3932
315,250,251,2967841600,2967841625,251,2458
315,251,252,2968034000,2968034025,251,2458
315,252,253,2968194175,2968194200,253,2703
315,253,254,2968382675,2968382700,253,2703
315,254,255,2968419775,2968419800,253,2703
315,255,256,2968494000,2968494025,256,4429
315,256,257,2968634650,2968634675,256,4429
315,257,258,2968649300,2968649325,258,3655
315,258,259,2968855375,2968855400,258,3655
315,259,260,2968873925,2968873950,258,3655
315,260,261,2969000900,2969000925,258,3655
315,261,262,2969019450,2969019475,258,3655
315,262,263,2969035075,2969035100,263,7099
315,263,264,2969128825,2969128850,263,7099
315,264,265,2969199150,2969199175,265,1168
315,265,266,2969285100,2969285125,266,7035
315,266,267,2969588850,2969588875,266,7035
315,267,268,2969598600,2969598625,268,5877
315,268,269,2970035175,2970035200,268,5877
315,269,270,2970124050,2970124075,270,4634
315,270,271,2970250025,2970250050,271,198
315,271,272,2970770575,2970770600,271,198
315,272,273,2970822350,2970822375,273,2165
315,273,274,2971255975,2971256000,274,8049
315,274,275,2972135950,2972135975,275,8529
315,275,276,2972487525,2972487550,275,8529
315,276,277,2972561750,2972561775,277,3461
315,277,278,2972769775,2972769800,278,2701
315,278,279,3036120875,3036120900,279,921
315,279,280,3036674650,3036674675,279,921
315,280,281,3036813325,3036813350,281,2732
315,281,282,3037158075,3037158100,282,3680
315,282,283,3037515550,3037515575,283,3922
315,283,284,3037748950,3037748975,283,3922
315,284,285,3037828075,3037828100,285,8858
315,285,286,3038271475,3038271500,285,8858
315,286,287,3038323225,3038323250,287,7619
315,287,288,3038601575,3038601600,287,7619
315,288,289,3038722675,3038722700,287,7619
315,289,290,3038736350,3038736375,290,7707
